ID,Source,x,y,R,G,B,size
1857,161175622809301120,72.32959776912,32.58803826578,67,145,254,3.5678223586246833
20674,469919007590613888,58.43108707768,57.97474044202,70,128,246,3.567793505260963
34058,1365497616683816064,261.6843393356,48.26004196765,70,128,246,3.549194581490536
16842,49729231594420096,60.20380195133001,18.19387756746,59,160,253,3.5471915095652653
11225,46042431666550400,63.13087298078,17.27737247117,53,243,148,3.545764557893629
56851,499294487942493184,79.55513908006,73.26797189084,69,92,207,3.544744931892891
74729,2285651685057680640,336.67638831053,78.78565678181,70,125,244,3.5192082489909033
31524,961247873083084800,91.26383041194,42.9809850659,56,165,251,3.5179442533795235
34515,1606779808402312320,219.563550716,54.02325767588,70,100,218,3.517020080081966
6346,29407129975205888,47.84125888774,13.04791591368,50,242,152,3.5108347523138237
88887,175618983647633920,70.46076682853001,38.27974472689,31,201,221,3.4974755719040904
5071,23420151723059200,37.39732484978,9.565635854439998,50,242,152,3.4939947175926456
34714,1665940268484708608,205.37513087605,64.82235758986,71,110,230,3.492024390092318
71738,3693745649213278208,187.29028783413003,-2.42958606979,250,186,57,3.4915546604580845
75436,2574158313504213504,27.71623775092,11.04325602313,59,160,253,3.4704297541573403
75585,2641159940760868736,353.53803795861,-1.24762286186,65,150,255,3.4703800590691483
34362,1500347838748255360,206.55577043103,41.08855425282,69,138,252,3.466737087676177
34469,1580673966384344960,191.82915213986,62.78117825168,69,138,252,3.461637310417081
2188,8810116091022208,44.05766181697,8.38116469977,42,185,238,3.4484121842510675
708,158774706027453056,68.65830879808,28.96105539632,69,89,203,3.4404654994754287
34504,1598329954168339712,236.90813433781005,55.376644249440005,69,138,252,3.4360298303297627
28534,752277235725496192,155.77630490504998,33.90812043703,70,125,244,3.4349688199487223
15978,57064451620025088,55.94727319452,19.66478829848,44,240,158,3.4345402188804375
18121,221980716066283136,53.166680775550006,35.46173171235,68,84,195,3.4327546247501557
1540,154868690970232576,73.19654537769,27.89733865438,53,171,248,3.4155914740282416
73513,2231970331935118208,348.6552794657,74.23130270076,69,94,211,3.411705579814697
13574,43615122310787840,58.29252814021,17.32695470319,56,165,251,3.4096687926115585
28361,322210134469243008,23.56929047864,37.23709521959,68,84,195,3.404596809803179
34309,1452083298377571072,208.29222105253,28.64826005195,70,135,251,3.403773798472531
4277,19400302852196096,38.76719730258,7.4704693687,53,243,148,3.3981303323597674
22058,500845452173512064,68.37827863742,72.52820286877,65,150,255,3.392760770908116
782,115302421446877184,45.47551741922,26.462376976210003,71,123,242,3.3894976023209313
27300,568421574254377728,47.92646891412,81.47071246831,70,128,246,3.3869915373014927
